clean_tweet,Sentiment
"A message to share before you rush to the grocery store - please help your parents, grandparents, and all of our elderly citizens coronavirus corona outbreak coronavirus pandemic coronavirus usa covid <url>",Positive
No ground beef at Kroger. Stock tip stay away from the plant based food fads. If this crap is still on shelf during coronavirus it will not sell ever. <url>,Negative
"The <user> warns about new scams involving coronavirus (covid). There are no vaccines, pills, potions, lotions, lozenges, prescriptions, or over-the-counter products available to treat/cure Coronavirus. To learn more about how to spot these scams, visit: <url>",Negative
"covid All these men wandering aimlessly through the aisles. I guess it's the first time they've ever had to go to the grocery store. (@ Giant in Ashburn, VA) <url>",Neutral
"Trevor, an RD at tcfd, shares helpful tips when it comes to stocking up on food during a coronavirus quarantine. Stock your pantry as you always do and aim for your diet to consist of protein, fat, carbs, fruits, and veggies: <url> <user> food is medicine",Positive
Information about covid and your options and health care rights from Health Consumer Alliance (of which we are a part). <url> healthcare covid covid?19 healthcare rights,Positive
"<user> In some communities without confirmed covid case, each family can send one person each day to supermarket to buy food and drink but they must wear facemask and receive temperature test.",Neutral
We have a Whatsapp group in my apartment building. It's currently being used to track shipment dates and times of toilet paper to our local supermarket. Because 2020. covid sydney,Neutral
Consumer expert Amy Davis is explaining your chances of getting your money back if you decide not to keep your plans due to coronavirus concerns. <url> kprc2 click2houston coronavirus <url>,Positive
"On my way home, the grocery store parking lots looked like the day before Thanksgiving, and Walmart/Target looked like Black Friday. This panic buying is ludicrous. The victims here are those who may not be able to get to the store, likely some of the most at risk from covid",Negative
"According to French retailer Carrefour, vegetable deliveries increased by 600 <percent> YoY. <url> The same case I have seen with one of my client's online grocery shopping. Organic traffic grew by 3x cause most people stay home safely and buy something from the web. <url>",Positive
Oregon Cheese Festival officially postponed due to coronavirus Keep your fingers crossed for microbusinesses like ours. Wanna support us by shopping online? We'll put a trial sized package and a sticker in with every order received through this weekend. <url>,Positive
"Fill up the fridge with enough food, ready medical supplies, water, avoid crowd, be updated with news, dont panic, work from home if feasible, boost immune system by drinking vitamins and always wash hands. Stay safe and healthy! covid metro manila co vid",Positive
People in Italy: stock up food People in UK: Stock uo toilet paper covid lockdown uk italy covid uk,Neutral
Jakarta has decided to limit food sales in retail stores to avoid panic buying amid the full alert status of covid pandemic,Negative
"<user> Imagine your life if the supply chain from manufacturer??warehouse??retail store is disrupted because of lockdowns in cities, counties, states, or nations because of covid Especially is your stock of food includes",Neutral
People really need to get a grip and be nicer to each other. Mum was just in local Tesco's. Shelves empty. Queues down aisles 1/2hr long. Mum being her normal cheery self laughing and joking w her fellow queuers - said she made a few friends! ? bekind covid 1/2,Positive
Florida's leading grocery store says the move will give employees more time to clean stores and stock shelves as the state deals with covid. <url>,Positive
So the govt is trying to boost spending to save the economy but what about the several retail staff I witnessed yesterday - in the one store - continuously coughing over merchandise?? And elsewhere?? bigw east gardens coronavirus stimulus auspol,Positive
"<user> is doing incredible things for the five boroughs but this is nothing new, they work tirelessly all year long to help serve the food insecure and thousands rely on them each month for free, fresh produce and meals. They expect demand to increa",Positive
"?CONSUMER ALERT? Scammers will try to take advantage of the fear surrounding the coronavirus outbreak. There were reports of a false live map of covid cases purportedly from Johns Hopkins University, as well as phishing emails. ?For more info: <url>",Positive
"Thanks for coming by our food shelf today RT <user>: As the push for food continues to grow during the covid outbreak, those who need it most may have a hard time getting it. | <url>",Positive
A tale of two food business sectors from my visits today: supermarket packed while small family-owned restaurant empty. We all need food. How about switching the dynamic and order some meals from your favorite locally owned restaurant? shoplocal covid <url>,Positive
I wish ppl in supermarket lines understand social distances covid,Positive
What impact will covid have on consumer behavior? <url>,Neutral
"If the UK government bans mass gatherings, how will shopping in a supermarket work? Including staff, there must be at least 250 peeps in a big shop at any given time? Does that count as a mass gathering covid",Neutral
So let me get this straight. This is just food for thought everyone. 1. 1.5 TRILLION DOLLARS was just pumped into Wall Street to fight off the Stock Market Plummeting. 2. covid Is afflicting hundreds of thousands of lives and millions of jobs. Cont.,Negative
During this time try to shop small shoplocal where possible. Even shopping online you can support small businesses family business covid bekind help one another lets do this support small business <url>,Positive
"Unsurprisingly, ecommerce is reportedly getting a big boost as more people turn to online shopping due to the confinement. coronavirus blessing in disguise. <user>",Positive
Retail stores are the least affected amongst all businesses during this covid outbreak. They should be ethical and not hike product prices at this time. Cleaning products to groceries have all seen a price hike now. This is no good.,Positive
"The American public should be aware of bogus home testing kits for sale either online or in informal direct to consumer settings, the U.S. Customs and Border Protection said in a statement Saturday. coronavirus <url>",Neutral
"Happy Saturday? Friends, while we are sanitizing our shipping facility and storefront multiple times daily, we want to strongly encourage you to take your shopping experience with us online to err on the side of safety during this time of the covid season. <user> ? <url>",Positive
"Went to Costco, Rona, Walmart, Dollar Tree, Super Store, Shoppers and Walmart. All were out of Toilet Paper, Lysol Wipes, Paper Towel, Tissue, Chicken, Pasta and canned food. Finally, went to an Asian Store and was able to stock up on all items other than Wipes.coronavirus",Positive
"Not thrilled about the craziness at the stores however I am liking these gas prices in Columbia, SC low gas prices covid <url>",Negative
"<user> Good advice. We need perspective and practical action, not panic...or police and security guards in the supermarket aisles! Maybe tom hanks contracting coronavirus covid, and his response, will help others to stay",Positive
"Retail stores begin temporary closures in North America as the coronavirus spreads. The list now includes <user>, <user> and more. <url>",Neutral
.<user>'s U.S. stores are now open from 6 a.m. to 11 p.m. <url> retail walmart coronavirus <url>,Neutral
Can someone explain why the gas prices so low? With everything going covid corona outbreak,Negative
Alright y'all I hope our Melanin prevails but just in case I took some precautions I had some food and water delivered. ??? I've had my masks for a month and may have to open soon! ?? b1 fba coronavirus usa covid <url>,Positive
"Went to my local Indian grocery store and their shelves were full of supplies same as the local Guatemalan grocery store. Try those places instead of the Acme, shop rite, giant etc... covid",Neutral
us consumer prices unexpectedly rose in February but are likely to decline in the months ahead as the coronavirus outbreak depresses demand for some goods and services. covid <url>,Negative
"mga adik sa Shopee, Lazada, or online shopping wag muna order ng non important items o kaartehan unless for hygiene, healthcare reasons. prioritize actually important items than vanity and just plain add to cart boredom. covid coronavirus pandemic coronavirus",Negative
Low gas prices could hurt economy as toronto drivers take advantage: <url> <user> covid coronavirus canada,Negative
Who knew that pandemic would mean my inbox being flooded by every single retail vendor I've ever had any contact with emailing to inform me about their covid response. Didn't know I needed that info from WiFi provider and a store I bought a bag of chips from ten years ago.,Neutral
"<user> Worked retail for years. While I have umpteen customer horror stories, the ones I remember the most were the kind ones. The people at the store are not to blame for others hoarding toilet paper or canned corn. These people are working and riskin",Positive
Target toilet paper aisle this afternoon. Same at Menards. Grocery store also. This is going to turn into a shitty situation. covid <url>,Negative
"My local store has more than enough food and toiletries. Everything's in stock. Except TP and tissues. Is this some kind of inside joke that the whole world is in on, except me? covid coron apocalypse coronavirus panic buying toilet paper crisis tissues inside joke <url>",Positive
When you're told to avoid large gatherings it's an interesting strategy to mob the grocery store en masse. I'd face palm but I'm not allowed to touch my face. covid <url>,Positive
"If your grocery store is out of toilet paper, no worries <user> has a 18 roll of Charmin for <money>. How bad do you want it? <url> coronavirus covid price gouging <url>",Negative
The companies said that they took stock of the situation and started working on main and alternative plans to meet the demand of foods in local market. qatar coronavirus food <url>,Negative
Britain s food retailers published an open letter in national newspapers urging shoppers to stop buying more than they need during the outbreak,Negative
Direct-to-consumer brands including Glossier and Allbirds were among the first to close stores amid covid concerns. <url>,Neutral
fuck coronavirus who has a bill coming up that they're not sure they're gonna be able to pay send me your bill and your venmo,Negative
"Funny side effect for 'some high-ups' now covid is ruling the fear of human race, they cling on social media/online means for contact, entertainment,shopping,etc. so easy fot the 'big guys' to profile your ongoing for a few weeks indoor or months. Very clever! <user>",Positive
My sister friend just sent her a screen shot of this and now she's freaking out and went to the store to buy food and stock up on everything! Tbh starting to worry now...all jokes aside coronavirus,Negative
Due to the coronavirus... - All paid and in-store services at <user> are suspended. - Retail workers are encouraging customers to not try on Apple Watches and AirPods - <user> is modifying its store features including limited seating <url>,Negative
"My girl goes to the store to stock up on some food.. Comes home with 3 parsnips, 40 carrots and some tea..? ??? coronavirus covid coron apocalypse covid us",Neutral
This is what online shopping looks like in a pandemic in Feb hand sanitizers gloves masks sprays purchases skyrocketed 817 over the counter drugs cold cough amp flu meds up 198 toilet paper buying up 186 Source Adobe Analytics,Positive
"My neighbor's a health care professional working as a nurse at a major <user> hospital. She's very much appreciated and in the time of Coronavirus, wanted her to know that we have to take care of one another. Thank a nurse, doctor, hospital worker. coronavirus covid thank you <url>",Positive
Great idea Why Because the frail amp elderly are generally less familiar with online shopping more vulnerable to being jostled as they see shelves emptied in front of them in crowded stores as I observed in London Sunday,Positive
"LOOK: Shoppers wearing face masks stock up on food and disinfectants, wait in line to pay at a supermarket in Quezon City as covid cases rise in the country | via <user> <url>",Negative
Went to the grocery store for a few things I actually need and find the TP aisle empty but funny how the fuckin soap aisle is full.. coronavirus pandemic covid coronavirus update stupid fuckin people panic buying,Positive
"America, your local small business needs you. You may be self quarantined but you can go online right now and buy a gift certificate from you local restaurant, grocery, or other store. coronavirus",Positive
"went to the supermarket after a week locked in my apartment and what I see is kids playing in parks and people jogging... maybe it's not very clear... VE NE DOVETE STA A CASA, 'CCI VOSTRA covid corona r virus italia",Negative
"this Panic solves NOTHING. What it is doing is leading to poor choices, food and necessity shortages and there will be wastage as well. This is a pandemic, yes. It is NOT, the end of days. keepcalmandcarryon WITH COMMON SENSE, SMART CHOICES, GOOD HYGIENE covid be smarter <url>",Positive
"My German colleagues have confirmed that Hamsterkäufe, as in how a hamster stuffs its cheeks with food, is indeed the German term for panic buying. This is the cute news I need today. hamster käufe covid ireland coronavirus ireland panic buying ireland panic buying <url>",Negative
The government: Avoid large crowds. Us: let's all meet up at the grocery store! coronavirus coron apocalypse corona outbreak covid coronavirus pandemic,Negative
Important public anouncement IF YOU JUST WASH YOUR BOTTOM LIKE PEOPLE ACROSS ASIA YOU WON'T NEED TO PANIC BUY LOO ROLL!!! I refer you to exhibit a b c Also food shelves full?! campaign for bum guns muslim shower toilet paper toilet paper apocalypse covid coronavirus pandemic <url>,Positive
I cannot decide if I am the smartest person in the grocery store or the dumbest. panic shoppers covid,Positive
covid pandemic: Americans: We need to buy toilet paper! Europeans: We need pasta and food! Everyone: We need masks and sanitizer gels! Kazakhs: It's just our normal panic-buying thing (loads of meat and flour). My mom: I need to buy shoes ASAP! Me: What about food??,Negative
??? COVID~19 Quarintine and Self Isolations will: *CAUSE ~consumer confidence? ~14 day in Isolations? ~2 to 4 months fiscal? damage/recovery *EFFECT ~bankruptcy rate? ~mortgage default rate? ~credit card delinquencies? *Resolve ~Fed rate cut?,Positive
The financial and economic impact of covid closures and cancellations will effect every consumer and taxpayer in every state. coronavirus,Neutral
Our SF store is closed to help curb the spread of covid . Please consider continuing to support us by shopping online or purchasing gift certificates for future use! We are offering free shipping on all orders of non-oversized items!,Positive
It's hell on earth at the supermarket this morning and I'm not even looking for toilet paper ?covid,Negative
Nothing demonstrates community panic more than a grocery store. Toilet paper and paper towels are being rationed but there is still wine! Angry customers at checkout despite very patient employees. covid priorities <url>,Negative
"I've gotten an email from every restaurant, every retail store, every place I have a membership to about the steps they're taking to mitigate the effects of covid... but I just got an email from the company that owns my storage unit about safety and hygiene? <url>",Positive
Empty store shelves at a Sobey's in Etobicoke. People there tell me they went there after lines were too long at other grocery stores covid <url>,Negative
"An Indian farmer buried 6,000 chickens alive after a drop in prices due to the coronavirus outbreak. The move angered social media users who saw it as cruel showing the end of humanity. <url>",Negative
"How many Retail store CEOs can I get to compliment me? that seems to be this goal of this trump press conference I bet these stores would love a payroll tax cut, they'd save a ton of money which would have gone into workers' social security fund. coronavirus",Positive
"Mf government officials saying to stock up on food and resources, and all we got is bath and body works hand sanitizers, a swifter, ice cream, half a bag of pizza rolls, a corner of kool aid, and spaghetti noodles ?.. BRUH ? coronavirus",Positive
"Since I can't go out and spend all my money I will instead be online shopping for clothes. When this covid runs its course, it's over for all you hoes",Neutral
Going to the grocery store is like being on a episode of Chopped You have tuna cotton candy and soy milk make your entree 19,Positive
This is huge news! us business can expand into new industries and manufacture technology in the states to avoid economic paralysis covid proves we must rethink our strictly consumer role as a nation Election year means ideas. <url>,Positive
Gas prices the lowest they've been in YEARS. Plot twist: everything you wanted to do has been canceled and/or you're not allowed to go. covid washyourhandstiltheyreclean cause they re dirty,Negative
<user> ordering groceries online is great for those of us who are internet savvy. Some elderly people aren't familiar with online shopping coronavirus isolation elderly,Positive
Increasing unease over 19 is driving people to stock up on food water toilet paper and other items spoke to Southern California residents about their shopping experience,Negative
"Getting some crazy WhatsApp about supermarket crazyness. Relax folks, no need for hysteria. They will be restocked. Panic is the last thing we need... coronavirus covid <url>",Negative
Dryfood for 6 weeks ?on stock. Out there on the field tonns??? of mices. I dont care about food. Human has to plant next week patatoes for his food. Garden pawtrol??? is always a lot to do. coronavirus cats of twitter c aturday ?? <url>,Negative
"Real Canadian Superstore online shopping also down. Guess it's not me, as covid strikes again.",Negative
The panic buying is intensifying on long island. It's placing added stress on our lives and basic needs and food are scarce. Shop sensibly. Read this by <user>. covid coronavirus pandemic coronavirus <url>,Negative
Report retailers or manufacturers colluding and /or hoarding with intention to increase prices of consumer goods and take advantage of the covid case to Competition Authority Of Kenya - <num>/<num> or info<user>.go.ke <url>,Positive
"My approach to the covid lockdown in Norway is a bit different than everyone else's apparently. They're stocking up on food. I bought paint and went to the library to stock up on books for the kids. Sadly, the library had also closed down due to coronavirus.",Negative
"Thank you to all the people who reported to work at a hospital, pharmacy, grocery store or other retailer selling critical supplies. I appreciate you. Particularly your patience dealing with the people who are afraid and difficult. covid?19 coronavirus updates",Positive
<user> The two most dangerous places during covid outbreak: hospital and grocery store. coron apocalypse coronavirus state of emergency national emergency,Negative
The news networks were disallowed from issuing proper warnings about coronavirus in order to save the stock prices of the corporations who own them. The many deaths that will occur as a result of this deception are a sacrifice they willingly made. covid <url>,Negative
"I cut out a roll of toilet paper from a pack at the grocery store, rolled it into a crowd of shoppers, and yelled ""last one"" as a joke. Never have I seen such horror... coronavirus pandemic covid coronavirus wuhan coronavirus",Negative
coronavirus continues to effect retail ... including in-store experiences <url>,Neutral
JUST CLOSE IT Nike announced it will temporarily close all US retail store on Monday to prevent the possible spread of covid DETAILS,Neutral
How Chicago prepared for da virus,Positive
"NO toilet paper hand sanitizer disinfectant wipes at home depot or walmart !?Got some yesterday from the grocery store but cause ppl R going nuts and stockpiling there's not enough 4the rest of us ""Normals""? coronavirus pandemic corona outbreak covid",Negative
"Osu cemetery bookings at affordable prices,Dm if interested covid <url>",Positive
